id;title;url;priority;level;content_type;frequency;tech_notes;status
VK press releases (EN);VK — пресс-релизы (EN, MAX/Sferum);https://vk.company/en/press/releases/;medium;2;Официальные пресс-релизы VK (англ. версия) — иногда проще парсится;По событиям;Иногда структура страницы отличается от ru-версии;✅ Активен
VK press: MAX 100M users;VK — пресс-релиз: MAX превысил 100 млн пользователей;https://vk.company/en/press/releases/12248/;high;1;Ключевые новости и функции MAX (официально VK);По событиям;"Конкретная статья; меняется редко, но важна для мониторинга официальных заявлений";✅ Активен
VK press: MAX for business automation;VK — пресс-релиз: MAX открыл возможности для автоматизации бизнеса;https://vk.company/press/releases/12260/;high;1;Официальные изменения продукта MAX для бизнеса и интеграций;По событиям;"Конкретная статья; важна для релизов и функциональных обновлений";✅ Активен
VK Messenger: официальный сайт;VK Мессенджер — официальный сайт;https://web.vk.me/;high;1;Официальная страница VK Мессенджера: функциональность и важные изменения;По факту обновлений;"Статическая страница; полезно для фиксации изменений позиционирования и ссылок";✅ Активен
RuStore: VK Мессенджер;RuStore: VK Мессенджер — история версий;https://www.rustore.ru/catalog/app/com.vk.im/versions;high;1;Версии приложения VK Мессенджер, описание обновлений;По релизам в сторе;Надёжный источник релиз-нотов для Android;✅ Активен
Sferum: about/timeline;Сферум — официальный раздел «О проекте» (таймлайн обновлений);https://www.sferum.ru/about;high;1;Официальная информация о Сферум: ключевые обновления по годам/периодам;По факту обновлений;Хорошо подходит для фиксации крупных изменений продукта;✅ Активен
Sferum: official blog;Сферум — официальный блог (prof.sferum.ru);https://prof.sferum.ru/blog;high;1;Официальные статьи про новые функции, инструкции, обновления;По публикациям;"Один из лучших источников по обновлениям Сферум; близко к официальному";✅ Активен
Sferum: media about us;Сферум — раздел «СМИ о Сферуме»;https://www.sferum.ru/media_about_us;medium;2;Подборка публикаций/инфоповодов о Сферуме (как индикатор событий);По публикациям;"Не всегда первоисточник; использовать как сигнал и подтверждать официальными пресс-релизами VK/ссылками";⚠️ Ограничения
VK press: Sferum 25M users;VK — пресс-релиз: Сферум в MAX достиг 25 млн пользователей;https://vk.company/press/releases/12273/;high;1;Официальные заявления о Сферуме и функциях в экосистеме MAX;По событиям;"Конкретная статья; помогает подтверждать медийные сигналы ссылкой на VK";✅ Активен
VK press: Sferum 20M users;VK — пресс-релиз: более 20 млн пользователей Сферума в MAX;https://vk.company/press/releases/12213/;high;1;Официальные заявления VK о росте и обновлениях Сферума;По событиям;"Конкретная статья; полезна как первоисточник при ссылках";✅ Активен
Sferum: prof portal;Сферум — проф. портал (обновления, инструкции);https://prof.sferum.ru/;high;1;Подробные материалы про новые функции Сферум и практику использования;По публикациям;"Статьи с описанием возможностей; использовать как близкий к официальному источник";✅ Активен
VK ESG blog (Sferum updates);VK — блог/обновления Сферум (ESG/соцпроекты);https://vk.company/esg/blog/11833/;medium;2;Официальный материал VK об обновлениях Сферум;По публикациям;Близко к официальному источнику (vk.company);✅ Активен
TAdviser: Product:Max;TAdviser: Product:Max;https://tadviser.com/index.php/Product:Max_(messenger);medium;2;Хронология релизов, аналитика, интеграции;1–2 раза в неделю;Статическая страница с историей версий;✅ Активен
MinTsifry: новости;MinTsifry: новости;https://digital.gov.ru/news-feed;medium;2;Стратегия, нормативные акты, требования к ПО;Ежедневно;"Официальный сайт; /news-feed обычно стабильнее, чем /ru/news; при блокировках использовать sitemap";✅ Активен
MinTsifry: sitemap news/projects;MinTsifry: sitemap (новости/проекты);https://digital.gov.ru/wp-sitemap-posts-news-projects-1.xml;medium;2;Sitemap XML (новости и проекты) — стабильный индекс для мониторинга изменений;Ежедневно;Подходит для мониторинга списка публикаций даже если HTML ленты меняется/сложно парсится;✅ Активен
Roskomnadzor: реестры;Roskomnadzor: реестры;https://rkn.gov.ru/activity/connection/register/;medium;2;Официальные реестры/требования (связь, распространители информации, и др.);По мере обновления;"На rkn.gov.ru есть несколько реестров; фиксируем изменения страниц/форм";✅ Активен
Roskomnadzor: open data OIR;Roskomnadzor — open data: реестр организаторов распространения информации (ОИР);http://rkn.gov.ru/opendata/7705846236-InformationDistributor/;medium;2;Открытые данные РКН: список организаторов распространения информации (важно для мессенджеров);По мере обновления;"Официальный набор open data; полезно для юридически значимых изменений";✅ Активен
VK: max.platform;VK: max.platform;https://vk.com/max.platform;medium;2;Анонсы, вебинары, обновления для разработчиков;Ежедневно / по событию;Парсинг через VK API (wall.get);✅ Активен
RIA: MAX news feed;РИА Новости — подборка материалов про MAX;https://ria.ru/product_messendzher-max/;medium;2;"Новости и упоминания MAX в медиа (для контекста; проверять по первоисточникам)";По публикациям;"Не первоисточник; использовать только как указатель на события и затем подтверждать ссылками";⚠️ Ограничения
VK WorkSpace blog: messenger updates;VK WorkSpace — блог (обновления мессенджера);https://workspace.vk.ru/blog/;medium;2;Официальный блог VK WorkSpace: обновления корпоративного мессенджера;По публикациям;Близкий к официальному источник (vk.ru);✅ Активен
VK WorkSpace: release updates hub;VK WorkSpace — хаб «Новости и обновления»;https://workspace.vk.ru/blog/hubs/release-updates/;medium;2;Сводная страница обновлений VK WorkSpace (включая мессенджер);По публикациям;Удобнее общего блога для мониторинга релизов;✅ Активен
VK WorkSpace: release notes (SaaS);VK WorkSpace — Release Notes (SaaS);https://workspace.vk.ru/docs/saas/vk-teams/release-notes/;medium;2;Официальные release notes VK WorkSpace (SaaS);По релизам;Хорошо подходит для фиксации конкретных изменений функций;✅ Активен
VK WorkSpace: release notes (On-Prem 26.1);VK WorkSpace — Release Notes (On-Prem, пример 26.1);https://workspace.vk.ru/docs/on-premises/vk-teams/rn/26.1/index.html;low;3;Технические release notes (серверная версия). Использовать для отслеживания функций и терминов;По релизам;"Содержимое может обновляться по версиям; добавлять новые версии по мере появления";⚠️ Ограничения
RuStore: VK WorkSpace;RuStore: VK WorkSpace — история версий;https://www.rustore.ru/catalog/app/ru.mail.biz.avocado/versions;medium;2;Версии VK WorkSpace/VK Teams (Android), описание обновлений;По релизам в сторе;Удобно для отслеживания релизов мобильного клиента;✅ Активен
Habr: тег MAX;Habr: тег MAX;https://habr.com/ru/rss/tag/max/;low;3;Технические статьи, кейсы, опыт разработчиков;По публикациям;RSS-лента, удобно для агрегации;✅ Активен
Frontol: API MAX update (3rd party);Frontol — заметка про обновление API MAX (требует подтверждения);https://frontol.ru/news/obnovilos-api-messendzhera-max-dlya-podtverzhdeniya-vozrasta-neobkhodimo-zamenit-token/;low;3;Инфоповоды про API MAX (использовать только после подтверждения по официальным источникам);По публикациям;"Не официальный источник; только как сигнал, затем проверять по VK/MAX документации";⚠️ Ограничения
Sostav.ru;Sostav.ru;https://www.sostav.ru;low;3;Новости бизнеса, маркетинг, внедрения;Ежедневно;Парсинг только для трендов, не источник истины;⚠️ Ограничения
Kommersant.ru;Kommersant.ru;https://www.kommersant.ru;low;3;Аналитика, интервью, стратегия;Ежедневно;Парсинг только для контекста;⚠️ Ограничения
RBC.ru;RBC.ru;https://www.rbc.ru;low;3;Новости ИТ-рынка, госзаказы, цифровизация;Ежедневно;Парсинг только для мониторинга трендов;⚠️ Ограничения
pravo.gov.ru;Официальный интернет-портал правовой информации;http://pravo.gov.ru;high;1;Публикация федеральных законов, указов Президента, постановлений Правительства;Ежедневно / по факту принятия;"Статическая страница; возможна выгрузка по реквизитам акта; юридическая сила публикации с момента размещения";✅ Активен
publication.pravo.gov.ru;Портал официального опубликования правовых актов;https://publication.pravo.gov.ru;high;1;Официальные тексты нормативных актов с реквизитами и датами вступления в силу;По факту публикации;"RSS-лента доступна; структура стабильна; позволяет отслеживать акты в момент официального опубликования";✅ Активен
regulation.gov.ru;Федеральный портал проектов нормативных правовых актов;https://regulation.gov.ru;high;1;Проекты законов, подзаконных актов, документы общественных обсуждений;По мере размещения проектов;"API для проектов НПА; фильтры по тематике; позволяет отслеживать инициативы на стадии обсуждения";✅ Активен
duma.gov.ru/news;Государственная Дума: новости законодательной деятельности;https://duma.gov.ru/news;high;1;Новости о внесении законопроектов, чтениях, комитетах по информационной политике;Ежедневно;"HTML-лента новостей; возможна выгрузка по дате; прямой источник о законодательных инициативах в сфере ИТ";✅ Активен
council.gov.ru/news;Совет Федерации: новости;https://council.gov.ru/news;medium;2;Позиции верхней палаты по законопроектам, международным аспектам цифровизации;По мере публикации;"Дополняет картину законодательного процесса; особенно по вопросам безопасности и международного взаимодействия";✅ Активен
fsb.ru/press;ФСБ России: пресс-центр;https://fsb.ru/press/;high;1;Требования по криптографии, СОРМ, защите информации, комментарии по безопасности;По событиям;Ключевой источник для понимания требований к шифрованию и взаимодействию мессенджеров с органами безопасности;✅ Активен
fstec.ru/activities;ФСТЭК России: деятельность;https://fstec.ru/deyatelnost;high;1;Методические документы, требования к сертификации, стандарты защиты информации;По мере обновления;"Незаменим для подготовки продуктов к сертификации; технические требования к обработке персональных данных";✅ Активен
gosuslugi.ru/help/digital-profile;Госуслуги: Цифровой профиль и интеграции;https://gosuslugi.ru/help/digital-profile;high;1;Документация по интеграции с Госуслугами, Цифровым ID, «Госключом»;По факту обновлений;"Документация в формате help-центра; возможна выгрузка по разделам; критично для интеграций с госсервисами";✅ Активен
appgallery.ru;AppGallery: каталог российских приложений;https://appgallery.ru;medium;2;Версии приложений, описания обновлений, рейтинги, альтернатива RuStore;По релизам;"Каталог приложений; история версий доступна; дополнительный источник для отслеживания версий мобильных клиентов";✅ Активен
digital.gov.ru/ru/activity/gosprogram;Минцифры: Государственные программы;https://digital.gov.ru/ru/activity/gosprogram/;medium;2;Стратегические документы, дорожные карты, показатели развития отрасли связи и ИТ;Квартально / по обновлению программ;"Статические страницы программ; обновления по кварталам; позволяет отслеживать стратегические приоритеты государства";✅ Активен
